# ROGameReplicationInfo  maxHandle=184
   h  class                  kind name                               type                   netindex
   0  Actor                  func DemoRecordSound                    (rpc)                  ni=495
   1  Actor                  prop RelativeRotation                   struct Rotator         ni=2481
   2  Actor                  prop RelativeLocation                   struct Vector          ni=2482
   3  Actor                  prop Velocity                           struct Vector          ni=2488
   4  Actor                  prop Instigator                         obj<Pawn>              ni=2502
   5  Actor                  prop Base                               obj<Actor>             ni=2515
   6  Actor                  prop Owner                              obj<Actor>             ni=2516
   7  Actor                  prop ReplicatedCollisionType            byte(enum ECollisionType) ni=2518
   8  Actor                  prop Role                               byte(enum ENetRole)    ni=2520
   9  Actor                  prop RemoteRole                         byte(enum ENetRole)    ni=2521
  10  Actor                  prop Physics                            byte(enum EPhysics)    ni=2522
  11  Actor                  prop DrawScale                          float                  ni=2528
  12  Actor                  prop Rotation                           struct Rotator         ni=2529
  13  Actor                  prop Location                           struct Vector          ni=2530
  14  Actor                  prop bNetOwner                          bool                   ni=2546
  15  Actor                  prop bProjTarget                        bool                   ni=2560
  16  Actor                  prop bBlockActors                       bool                   ni=2561
  17  Actor                  prop bCollideWorld                      bool                   ni=2563
  18  Actor                  prop bCollideActors                     bool                   ni=2564
  19  Actor                  prop bHardAttach                        bool                   ni=2583
  20  Actor                  prop bTearOff                           bool                   ni=2598
  21  Actor                  prop bHidden                            bool                   ni=2626
  22  Actor                  prop bLoadedFromSavegame                bool                   ni=2628
  23  GameReplicationInfo    prop Winner                             obj<Actor>             ni=16534
  24  GameReplicationInfo    prop ServerName                         string                 ni=16535
  25  GameReplicationInfo    prop TimeLimit                          int                    ni=16537
  26  GameReplicationInfo    prop GoalScore                          int                    ni=16538
  27  GameReplicationInfo    prop RemainingMinute                    int                    ni=16539
  28  GameReplicationInfo    prop ElapsedTime                        int                    ni=16540
  29  GameReplicationInfo    prop RemainingTime                      int                    ni=16541
  30  GameReplicationInfo    prop bMatchIsOver                       bool                   ni=16543
  31  GameReplicationInfo    prop bMatchHasBegun                     bool                   ni=16544
  32  GameReplicationInfo    prop bStopCountDown                     bool                   ni=16545
  33  GameReplicationInfo    prop GameClass                          class<GameInfo>        ni=16547
  34  ROGameReplicationInfo  prop WeaponXPMultiplier                 float                  ni=31080
  35  ROGameReplicationInfo  prop ClassXPMultiplier                  float                  ni=31081
  36  ROGameReplicationInfo  prop XPMultiplier                       float                  ni=31082
  37  ROGameReplicationInfo  prop AllSpawnWindowsStaticDontUse       int[20]                ni=31084
  38  ROGameReplicationInfo  prop SpawnWindowCloseTime               int[2]                 ni=31085
  39  ROGameReplicationInfo  prop PlayedRoundsCount                  int                    ni=31087
  40  ROGameReplicationInfo  prop RoundTeamScoreLimit                int                    ni=31088
  41  ROGameReplicationInfo  prop RoundLimit                         int                    ni=31089
  42  ROGameReplicationInfo  prop NoTunnelVolumes                    obj<ROVolumeNoTunnels>[16] ni=31090
  43  ROGameReplicationInfo  prop ServerMOTD                         string                 ni=31091
  44  ROGameReplicationInfo  prop ServerAdInfo                       struct PreGameServerAdInfo ni=31092
  45  ROGameReplicationInfo  prop WinStrengthPoints                  int                    ni=31093
  46  ROGameReplicationInfo  prop SUPointsHeld                       int[2]                 ni=31094
  47  ROGameReplicationInfo  prop SUCurrentScore                     int                    ni=31095
  48  ROGameReplicationInfo  prop SUTargetScore                      int                    ni=31096
  49  ROGameReplicationInfo  prop AttackerTotalTime                  int                    ni=31097
  50  ROGameReplicationInfo  prop ExtraWaves                         int                    ni=31098
  51  ROGameReplicationInfo  prop StartTimes                         int[2]                 ni=31099
  52  ROGameReplicationInfo  prop TotalTime                          int[2]                 ni=31100
  53  ROGameReplicationInfo  prop ReachedObjectiveName               string[2]              ni=31101
  54  ROGameReplicationInfo  prop NextInstantRespawn                 int[2]                 ni=31103
  55  ROGameReplicationInfo  prop AbilityThreeDelay                  int[2]                 ni=31104
  56  ROGameReplicationInfo  prop AbilityTwoDelay                    int[2]                 ni=31105
  57  ROGameReplicationInfo  prop AbilityOneDelay                    int[2]                 ni=31106
  58  ROGameReplicationInfo  prop AbilityOneEndTime                  int[2]                 ni=31107
  59  ROGameReplicationInfo  prop NextAbilityThreeTime               int[2]                 ni=31108
  60  ROGameReplicationInfo  prop NextAbilityTwoTime                 int[2]                 ni=31109
  61  ROGameReplicationInfo  prop NextAbilityOneTime                 int[2]                 ni=31110
  62  ROGameReplicationInfo  prop ArtySpawn                          struct Vector          ni=31111
  63  ROGameReplicationInfo  prop TotalStrikes                       int[2]                 ni=31112
  64  ROGameReplicationInfo  prop ArtilleryStrikeLimit               int[2]                 ni=31113
  65  ROGameReplicationInfo  prop TeamSwitchAllowTimer               int                    ni=31114
  66  ROGameReplicationInfo  prop NextEstLockDownTime                int                    ni=31115
  67  ROGameReplicationInfo  prop NextLockDownTime                   int                    ni=31116
  68  ROGameReplicationInfo  prop TeamObjectivesCaptured             int[2]                 ni=31117
  69  ROGameReplicationInfo  prop TeamsGrandScore                    int[2]                 ni=31119
  70  ROGameReplicationInfo  prop TeamsStrengthPoints                int[2]                 ni=31123
  71  ROGameReplicationInfo  prop CampaignRegionFactionsSouth        int[12]                ni=31124
  72  ROGameReplicationInfo  prop CampaignRegionFactionsNorth        int[12]                ni=31125
  73  ROGameReplicationInfo  prop CampaignRegionMaps                 string[60]             ni=31126
  74  ROGameReplicationInfo  prop CampaignTimerSync                  int                    ni=31127
  75  ROGameReplicationInfo  prop CampaignTeamCasualties             int[2]                 ni=31129
  76  ROGameReplicationInfo  prop CampaignTeamVictoryPoints          int[2]                 ni=31130
  77  ROGameReplicationInfo  prop CampaignTeamCombatPower            float[2]               ni=31131
  78  ROGameReplicationInfo  prop bUnlimitedRoles                    bool                   ni=31132
  79  ROGameReplicationInfo  prop bAutoRespawnTimerActive            bool                   ni=31133
  80  ROGameReplicationInfo  prop bRoleKickVoteInProgress            bool                   ni=31134
  81  ROGameReplicationInfo  prop bKickVoteInProgress                bool                   ni=31135
  82  ROGameReplicationInfo  prop bAnonymousVoteKicking              bool                   ni=31136
  83  ROGameReplicationInfo  prop bOnlyTeamKickVotes                 bool                   ni=31137
  84  ROGameReplicationInfo  prop bKickVotingEnabled                 bool                   ni=31138
  85  ROGameReplicationInfo  prop bRoleKickEnabled                   bool                   ni=31139
