   0 Actor                  func DemoRecordSound ni=495
   1 Actor                  prop RelativeRotation ni=2481
   2 Actor                  prop RelativeLocation ni=2482
   3 Actor                  prop Velocity ni=2488
   4 Actor                  prop Instigator ni=2502
   5 Actor                  prop Base ni=2515
   6 Actor                  prop Owner ni=2516
   7 Actor                  prop ReplicatedCollisionType ni=2518
   8 Actor                  prop Role ni=2520
   9 Actor                  prop RemoteRole ni=2521
  10 Actor                  prop Physics ni=2522
  11 Actor                  prop DrawScale ni=2528
  12 Actor                  prop Rotation ni=2529
  13 Actor                  prop Location ni=2530
  14 Actor                  prop bNetOwner ni=2546
  15 Actor                  prop bProjTarget ni=2560
  16 Actor                  prop bBlockActors ni=2561
  17 Actor                  prop bCollideWorld ni=2563
  18 Actor                  prop bCollideActors ni=2564
  19 Actor                  prop bHardAttach ni=2583
  20 Actor                  prop bTearOff ni=2598
  21 Actor                  prop bHidden ni=2626
  22 Actor                  prop bLoadedFromSavegame ni=2628
  23 Pawn                   prop RootMotionInterpCurveLastValue ni=7485
  24 Pawn                   prop RootMotionInterpCurrentTime ni=7486
  25 Pawn                   prop RootMotionInterpRate ni=7487
  26 Pawn                   prop FlashLocation ni=7500
  27 Pawn                   prop InvManager ni=7502
  28 Pawn                   prop DrivenVehicle ni=7511
  29 Pawn                   prop TearOffMomentum ni=7516
  30 Pawn                   prop HitDamageType ni=7517
  31 Pawn                   prop TakeHitLocation ni=7518
  32 Pawn                   prop PlayerReplicationInfo ni=7524
  33 Pawn                   prop Health ni=7542
  34 Pawn                   prop AirControl ni=7553
  35 Pawn                   prop JumpZ ni=7556
  36 Pawn                   prop AccelRate ni=7557
  37 Pawn                   prop AirSpeed ni=7559
  38 Pawn                   prop WaterSpeed ni=7560
  39 Pawn                   prop GroundSpeed ni=7561
  40 Pawn                   prop FiringMode ni=7591
  41 Pawn                   prop FlashCount ni=7592
  42 Pawn                   prop RemoteViewYaw ni=7593
  43 Pawn                   prop RemoteViewPitch ni=7594
  44 Pawn                   prop bIsSprinting ni=7599
  45 Pawn                   prop bIronSights ni=7601
  46 Pawn                   prop bIsProning ni=7604
  47 Pawn                   prop bRootMotionFromInterpCurve ni=7607
  48 Pawn                   prop bCanSwatTurn ni=7635
  49 Pawn                   prop bSimulateGravity ni=7647
  50 Pawn                   prop bIsCrouched ni=7663
  51 Pawn                   prop bIsWalking ni=7665
  52 Pawn                   prop Controller ni=7672
  53 Pawn                   func ClientStartDestroyingTunnel ni=19496
  54 Pawn                   func ClientStartConstructingTunnel ni=19498
  55 Pawn                   func ClientHideProgressBar ni=19499
  56 GamePawn               prop bLastHitWasHeadShot ni=1459
  57 ROPawn                 func ClientPossessed ni=4072
  58 ROPawn                 func BamboozlePaperdollFromExplosive ni=4505
  59 ROPawn                 func ServerBandage ni=4615
  60 ROPawn                 func ClientBandageCancel ni=4630
  61 ROPawn                 func ClientStartDestroyingTrap ni=4659
  62 ROPawn                 func ClientStopDisarmingTrap ni=4662
  63 ROPawn                 func ClientFullyStopDisarmingTrap ni=4664
  64 ROPawn                 func ClientStartConstructingHMG ni=4669
  65 ROPawn                 func ClientStopConstructingHMG ni=4671
  66 ROPawn                 func ClientStartDeconstructingHMG ni=4678
  67 ROPawn                 func ClientStopDeconstructingHMG ni=4682
  68 ROPawn                 func ClientFinishDeconstructingHMG ni=4686
  69 ROPawn                 func ClientStartDeployAmmoCrate ni=4691
  70 ROPawn                 func ServerLogPawn ni=4966
  71 ROPawn                 func ClientSlowlyDying ni=5060
  72 ROPawn                 func SetPlayingDigAnim ni=5229
  73 ROPawn                 func ServerSetMovementParams ni=5419
  74 ROPawn                 func ServerSetWadingDepthByte ni=5421
  75 ROPawn                 func ServerForceProne ni=5546
  76 ROPawn                 func ClientShouldProne ni=5547
  77 ROPawn                 func ServerForceCrouch ni=5550
