# ROPlayerController  maxHandle=531
   h  class                  kind name                               type                   netindex
   0  Actor                  func DemoRecordSound                    (rpc)                  ni=495
   1  Actor                  prop RelativeRotation                   struct Rotator         ni=2481
   2  Actor                  prop RelativeLocation                   struct Vector          ni=2482
   3  Actor                  prop Velocity                           struct Vector          ni=2488
   4  Actor                  prop Instigator                         obj<Pawn>              ni=2502
   5  Actor                  prop Base                               obj<Actor>             ni=2515
   6  Actor                  prop Owner                              obj<Actor>             ni=2516
   7  Actor                  prop ReplicatedCollisionType            byte(enum ECollisionType) ni=2518
   8  Actor                  prop Role                               byte(enum ENetRole)    ni=2520
   9  Actor                  prop RemoteRole                         byte(enum ENetRole)    ni=2521
  10  Actor                  prop Physics                            byte(enum EPhysics)    ni=2522
  11  Actor                  prop DrawScale                          float                  ni=2528
  12  Actor                  prop Rotation                           struct Rotator         ni=2529
  13  Actor                  prop Location                           struct Vector          ni=2530
  14  Actor                  prop bNetOwner                          bool                   ni=2546
  15  Actor                  prop bProjTarget                        bool                   ni=2560
  16  Actor                  prop bBlockActors                       bool                   ni=2561
  17  Actor                  prop bCollideWorld                      bool                   ni=2563
  18  Actor                  prop bCollideActors                     bool                   ni=2564
  19  Actor                  prop bHardAttach                        bool                   ni=2583
  20  Actor                  prop bTearOff                           bool                   ni=2598
  21  Actor                  prop bHidden                            bool                   ni=2626
  22  Actor                  prop bLoadedFromSavegame                bool                   ni=2628
  23  Controller             prop PlayerReplicationInfo              obj<PlayerReplicationInfo> ni=1860
  24  Controller             prop Pawn                               obj<Pawn>              ni=1861
  25  Controller             func ClientSetLocation                  (rpc)                  ni=1936
  26  Controller             func ClientSetRotation                  (rpc)                  ni=1939
  27  Controller             func ServerRestartPlayer                (rpc)                  ni=1974
  28  Controller             func ClientSwitchToBestWeapon           (rpc)                  ni=2020
  29  PlayerController       func ClientTravel                       (rpc)                  ni=3336
  30  PlayerController       func ClientConvolve                     (rpc)                  ni=3355
  31  PlayerController       func ServerProcessConvolve              (rpc)                  ni=3358
  32  PlayerController       func ClientReplicationDebug             (rpc)                  ni=3380
  33  PlayerController       func ServerToggleDrawRelevancyChecks    (rpc)                  ni=3382
  34  PlayerController       func ServerAddPeer                      (rpc)                  ni=3415
  35  PlayerController       func ServerRemovePeer                   (rpc)                  ni=3419
  36  PlayerController       func ClientUpdateBestNextHosts          (rpc)                  ni=3423
  37  PlayerController       func ServerShortTimeout                 (rpc)                  ni=3475
  38  PlayerController       func ServerSpectatorReset               (rpc)                  ni=3485
  39  PlayerController       func ClientReset                        (rpc)                  ni=3486
  40  PlayerController       func ClientInitializeDataStores         (rpc)                  ni=3501
  41  PlayerController       func ClientGotoState                    (rpc)                  ni=3553
  42  PlayerController       func AskForPawn                         (rpc)                  ni=3554
  43  PlayerController       func GivePawn                           (rpc)                  ni=3556
  44  PlayerController       func ServerAcknowledgePossession        (rpc)                  ni=3566
  45  PlayerController       func ClientSetHUD                       (rpc)                  ni=3571
  46  PlayerController       func ReceiveLocalizedMessage            (rpc)                  ni=3580
  47  PlayerController       func ClientPlaySound                    (rpc)                  ni=3582
  48  PlayerController       func ClientHearSound                    (rpc)                  ni=3598
  49  PlayerController       func ClientHearSoundAdvanced            (rpc)                  ni=3604
  50  PlayerController       func ClientHearSoundAdvancedRelevant    (rpc)                  ni=3610
  51  PlayerController       func WwiseClientHearSound               (rpc)                  ni=3616
  52  PlayerController       func Kismet_ClientPlaySound             (rpc)                  ni=3630
  53  PlayerController       func Kismet_ClientStopSound             (rpc)                  ni=3636
  54  PlayerController       func ClientPlayActorFaceFXAnim          (rpc)                  ni=3643
  55  PlayerController       func ClientMessage                      (rpc)                  ni=3647
  56  PlayerController       func TeamMessage                        (rpc)                  ni=3673
  57  PlayerController       func ServerMutate                       (rpc)                  ni=3701
  58  PlayerController       func ServerSay                          (rpc)                  ni=3710
  59  PlayerController       func ClientAdminMessage                 (rpc)                  ni=3713
  60  PlayerController       func ServerTeamSay                      (rpc)                  ni=3717
  61  PlayerController       func ClientSetCameraMode                (rpc)                  ni=3725
  62  PlayerController       func ClientSetCameraFade                (rpc)                  ni=3733
  63  PlayerController       func DualServerMove                     (rpc)                  ni=3751
  64  PlayerController       func OldServerMove                      (rpc)                  ni=3758
  65  PlayerController       func ServerMove                         (rpc)                  ni=3784
  66  PlayerController       func ServerDrive                        (rpc)                  ni=3793
  67  PlayerController       func VeryShortClientAdjustPosition      (rpc)                  ni=3816
  68  PlayerController       func ShortClientAdjustPosition          (rpc)                  ni=3825
  69  PlayerController       func ClientCapBandwidth                 (rpc)                  ni=3827
  70  PlayerController       func ClientAckGoodMove                  (rpc)                  ni=3829
  71  PlayerController       func ClientAdjustPosition               (rpc)                  ni=3841
  72  PlayerController       func LongClientAdjustPosition           (rpc)                  ni=3864
  73  PlayerController       func ServerUpdatePing                   (rpc)                  ni=3868
  74  PlayerController       func ServerRestartGame                  (rpc)                  ni=3912
  75  PlayerController       func ServerSpeech                       (rpc)                  ni=3920
  76  PlayerController       func ServerPause                        (rpc)                  ni=3937
  77  PlayerController       func ServerUTrace                       (rpc)                  ni=3940
  78  PlayerController       func ServerThrowWeapon                  (rpc)                  ni=3943
  79  PlayerController       func ServerUse                          (rpc)                  ni=3967
  80  PlayerController       func ServerSuicide                      (rpc)                  ni=3994
  81  PlayerController       func ServerChangeName                   (rpc)                  ni=4000
  82  PlayerController       func ServerChangeTeam                   (rpc)                  ni=4007
  83  PlayerController       func ClientSetProgressMessage           (rpc)                  ni=4014
  84  PlayerController       func ServerNotifyLoadedWorld            (rpc)                  ni=4018
  85  PlayerController       func ClientRestart                      (rpc)                  ni=4031
  86  PlayerController       func ClientGameEnded                    (rpc)                  ni=4037
  87  PlayerController       func ClientSetViewTarget                (rpc)                  ni=4093
  88  PlayerController       func ServerVerifyViewTarget             (rpc)                  ni=4097
  89  PlayerController       func ServerSetSpectatorLocation         (rpc)                  ni=4281
  90  PlayerController       func ServerViewNextPlayer               (rpc)                  ni=4309
  91  PlayerController       func ServerViewPrevPlayer               (rpc)                  ni=4310
  92  PlayerController       func ServerViewSelf                     (rpc)                  ni=4319
  93  PlayerController       func ClientIgnoreMoveInput              (rpc)                  ni=4555
  94  PlayerController       func ClientIgnoreLookInput              (rpc)                  ni=4557
