# ROVehicleHelicopter  maxHandle=122
   h  class                  kind name                               type                   netindex
   0  Actor                  func DemoRecordSound                    (rpc)                  ni=495
   1  Actor                  prop RelativeRotation                   struct Rotator         ni=2481
   2  Actor                  prop RelativeLocation                   struct Vector          ni=2482
   3  Actor                  prop Velocity                           struct Vector          ni=2488
   4  Actor                  prop Instigator                         obj<Pawn>              ni=2502
   5  Actor                  prop Base                               obj<Actor>             ni=2515
   6  Actor                  prop Owner                              obj<Actor>             ni=2516
   7  Actor                  prop ReplicatedCollisionType            byte(enum ECollisionType) ni=2518
   8  Actor                  prop Role                               byte(enum ENetRole)    ni=2520
   9  Actor                  prop RemoteRole                         byte(enum ENetRole)    ni=2521
  10  Actor                  prop Physics                            byte(enum EPhysics)    ni=2522
  11  Actor                  prop DrawScale                          float                  ni=2528
  12  Actor                  prop Rotation                           struct Rotator         ni=2529
  13  Actor                  prop Location                           struct Vector          ni=2530
  14  Actor                  prop bNetOwner                          bool                   ni=2546
  15  Actor                  prop bProjTarget                        bool                   ni=2560
  16  Actor                  prop bBlockActors                       bool                   ni=2561
  17  Actor                  prop bCollideWorld                      bool                   ni=2563
  18  Actor                  prop bCollideActors                     bool                   ni=2564
  19  Actor                  prop bHardAttach                        bool                   ni=2583
  20  Actor                  prop bTearOff                           bool                   ni=2598
  21  Actor                  prop bHidden                            bool                   ni=2626
  22  Actor                  prop bLoadedFromSavegame                bool                   ni=2628
  23  Pawn                   prop RootMotionInterpCurveLastValue     struct Vector          ni=7485
  24  Pawn                   prop RootMotionInterpCurrentTime        float                  ni=7486
  25  Pawn                   prop RootMotionInterpRate               float                  ni=7487
  26  Pawn                   prop FlashLocation                      struct Vector          ni=7500
  27  Pawn                   prop InvManager                         obj<InventoryManager>  ni=7502
  28  Pawn                   prop DrivenVehicle                      obj<Vehicle>           ni=7511
  29  Pawn                   prop TearOffMomentum                    struct Vector          ni=7516
  30  Pawn                   prop HitDamageType                      class<DamageType>      ni=7517
  31  Pawn                   prop TakeHitLocation                    struct Vector          ni=7518
  32  Pawn                   prop PlayerReplicationInfo              obj<PlayerReplicationInfo> ni=7524
  33  Pawn                   prop Health                             int                    ni=7542
  34  Pawn                   prop AirControl                         float                  ni=7553
  35  Pawn                   prop JumpZ                              float                  ni=7556
  36  Pawn                   prop AccelRate                          float                  ni=7557
  37  Pawn                   prop AirSpeed                           float                  ni=7559
  38  Pawn                   prop WaterSpeed                         float                  ni=7560
  39  Pawn                   prop GroundSpeed                        float                  ni=7561
  40  Pawn                   prop FiringMode                         byte                   ni=7591
  41  Pawn                   prop FlashCount                         byte                   ni=7592
  42  Pawn                   prop RemoteViewYaw                      byte                   ni=7593
  43  Pawn                   prop RemoteViewPitch                    byte                   ni=7594
  44  Pawn                   prop bIsSprinting                       bool                   ni=7599
  45  Pawn                   prop bIronSights                        bool                   ni=7601
  46  Pawn                   prop bIsProning                         bool                   ni=7604
  47  Pawn                   prop bRootMotionFromInterpCurve         bool                   ni=7607
  48  Pawn                   prop bCanSwatTurn                       bool                   ni=7635
  49  Pawn                   prop bSimulateGravity                   bool                   ni=7647
  50  Pawn                   prop bIsCrouched                        bool                   ni=7663
  51  Pawn                   prop bIsWalking                         bool                   ni=7665
  52  Pawn                   prop Controller                         obj<Controller>        ni=7672
  53  Pawn                   func ClientStartDestroyingTunnel        (rpc)                  ni=19496
  54  Pawn                   func ClientStartConstructingTunnel      (rpc)                  ni=19498
  55  Pawn                   func ClientHideProgressBar              (rpc)                  ni=19499
  56  Vehicle                prop bBackSeatDriving                   bool                   ni=27925
  57  Vehicle                prop bDriving                           bool                   ni=27926
  58  Vehicle                prop Driver                             obj<Pawn>              ni=27927
  59  SVehicle               prop VState                             struct VehicleState    ni=28115
  60  SVehicle               prop RBState                            struct RigidBodyState  ni=28116
  61  SVehicle               prop MaxSpeed                           float                  ni=28148
  62  ROVehicleBase          prop VolumeKillTime                     float                  ni=23213
  63  ROVehicleBase          func ServerAdjacentSeat                 (rpc)                  ni=23251
  64  ROVehicleBase          func ServerChangeSeat                   (rpc)                  ni=23253
  65  ROVehicle              func ServerSetPositionIndex             (rpc)                  ni=24304
  66  ROVehicle              func ServerStartInteraction             (rpc)                  ni=24704
  67  ROVehicle              func ServerEndInteraction               (rpc)                  ni=24729
  68  ROVehicle              func SetDrawSelected                    (rpc)                  ni=24771
  69  ROVehicle              prop LastTakeHitInfo                    struct TakeHitInfo     ni=24954
  70  ROVehicle              prop PassengerPRI                       obj<ROPlayerReplicationInfo> ni=24976
  71  ROVehicle              prop KillerController                   obj<Controller>        ni=25000
  72  ROVehicle              prop ProxyAnimAction                    struct ProxyAnimActionInfo ni=25048
  73  ROVehicle              prop ReplicatedSeatProxyHealths2        int                    ni=25052
  74  ROVehicle              prop ReplicatedSeatProxyHealths         int                    ni=25053
  75  ROVehicle              prop SeatMask                           int                    ni=25058
  76  ROVehicle              prop WeaponRotation                     struct Rotator         ni=25061
  77  ROVehicle              prop DeadVehicleType                    byte                   ni=25083
  78  ROVehicle              prop BackSeatDriverIndex                byte                   ni=25084
  79  ROVehicle              prop ResupplyCount                      byte                   ni=25085
  80  ROVehicle              prop CurrentMoveOrderType               byte(enum EOrderMoveType) ni=25086
  81  ROVehicle              prop EngineStatus                       byte(enum EEngineStatus) ni=25088
  82  ROVehicle              prop CurrentPositionIndex               byte                   ni=25089
  83  ROVehicle              prop Team                               byte                   ni=25090
  84  ROVehicle              prop bDrawSelectedMesh                  bool                   ni=25101
  85  ROVehicle              prop bDrawSelectedIcon                  bool                   ni=25102
  86  ROVehicle              prop bIsDisabled                        bool                   ni=25106
  87  ROVehicle              prop bCurrentResupplyActive             bool                   ni=25120
  88  ROVehicle              prop bTouchingResupply                  bool                   ni=25121
  89  ROVehicle              prop bHasBeenDriven                     bool                   ni=25138
  90  ROVehicle              prop bTeamLocked                        bool                   ni=25143
  91  ROVehicleHelicopter    func DisplayAutoHoverMessage            (rpc)                  ni=34832
  92  ROVehicleHelicopter    func ServerSetAutoHover                 (rpc)                  ni=34833
  93  ROVehicleHelicopter    func ClientRepairRotorBladeMeshes       (rpc)                  ni=34967
  94  ROVehicleHelicopter    func ServerSendBailout                  (rpc)                  ni=35408
  95  ROVehicleHelicopter    func ServerDisembarkAllBots             (rpc)                  ni=35414
