   0 Actor                  func DemoRecordSound ni=495
   1 Actor                  prop RelativeRotation ni=2481
   2 Actor                  prop RelativeLocation ni=2482
   3 Actor                  prop Velocity ni=2488
   4 Actor                  prop Instigator ni=2502
   5 Actor                  prop Base ni=2515
   6 Actor                  prop Owner ni=2516
   7 Actor                  prop ReplicatedCollisionType ni=2518
   8 Actor                  prop Role ni=2520
   9 Actor                  prop RemoteRole ni=2521
  10 Actor                  prop Physics ni=2522
  11 Actor                  prop DrawScale ni=2528
  12 Actor                  prop Rotation ni=2529
  13 Actor                  prop Location ni=2530
  14 Actor                  prop bNetOwner ni=2546
  15 Actor                  prop bProjTarget ni=2560
  16 Actor                  prop bBlockActors ni=2561
  17 Actor                  prop bCollideWorld ni=2563
  18 Actor                  prop bCollideActors ni=2564
  19 Actor                  prop bHardAttach ni=2583
  20 Actor                  prop bTearOff ni=2598
  21 Actor                  prop bHidden ni=2626
  22 Actor                  prop bLoadedFromSavegame ni=2628
  23 Inventory              prop InvManager ni=17968
  24 Inventory              prop Inventory ni=17969
  25 Inventory              func ClientGivenTo ni=17998
  26 Weapon                 func ServerWarnPawnsAlongFireLine ni=32748
  27 Weapon                 func ClientWeaponThrown ni=32769
  28 Weapon                 func ClientWeaponSet ni=32877
  29 Weapon                 func ServerStartFire ni=32881
  30 Weapon                 func ServerStopFire ni=32887
  31 ROWeapon               func ServerPlayDryFireSound ni=420
  32 ROWeapon               func ClientDrawMuzzleVector ni=705
  33 ROWeapon               func ServerZoomIn ni=777
  34 ROWeapon               func ServerZoomInModified ni=780
  35 ROWeapon               func ServerZoomOut ni=785
  36 ROWeapon               func ServerZoomOutModified ni=788
  37 ROWeapon               func ServerSyncSightIndex ni=808
  38 ROWeapon               func ServerRequestReload ni=851
  39 ROWeapon               func ClientDoReload ni=853
  40 ROWeapon               func ClientSingleBulletsLoaded ni=856
  41 ROWeapon               func ClientReloadComplete ni=861
  42 ROWeapon               func ServerCancelWeaponAction ni=872
  43 ROWeapon               func ClientCancelReload ni=874
  44 ROWeapon               func ClientTimeReloading ni=997
  45 ROWeapon               func ServerRequestCheckAmmo ni=1020
  46 ROWeapon               func ClientDoAmmoCheck ni=1021
  47 ROWeapon               func ClientCancelAmmoCheck ni=1022
  48 ROWeapon               func ClientPerformAmmoCheck ni=1025
  49 ROWeapon               func ServerGotoManualBolting ni=1052
  50 ROWeapon               func ClientGotoManualBolting ni=1053
  51 ROWeapon               func ClientSetClientAmmoCount ni=1179
  52 ROWeapon               func ClientDrawLine ni=1214
  53 ROWeapon               func ClientDrawSphere ni=1219
  54 ROWeapon               func ClientDrawCone ni=1227
  55 ROWeapon               func ClientEndFire ni=1268
  56 ROWeapon               func ServerHandleClientHitsOne ni=1299
  57 ROWeapon               func ServerHandleClientHitsOneProjectile ni=1308
  58 ROWeapon               func ServerHandleClientHitsThree ni=1316
  59 ROWeapon               func ServerHandleClientHitsThreeProjectile ni=1326
  60 ROWeapon               func ServerHandleClientHitsFive ni=1334
  61 ROWeapon               func ServerHandleClientHitsFiveProjectile ni=1344
  62 ROWeapon               func ServerHandleClientHitsSeven ni=1352
  63 ROWeapon               func ServerHandleClientHitsSevenProjectile ni=1362
  64 ROWeapon               func ServerHandleClientHitsNine ni=1370
  65 ROWeapon               func ServerHandleClientHitsNineProjectile ni=1380
  66 ROWeapon               func ServerHandleClientHitsThirteen ni=1388
  67 ROWeapon               func ServerHandleClientHitsThirteenProjectile ni=1398
  68 ROWeapon               func ServerHandleClientHitsSixteen ni=1406
  69 ROWeapon               func ServerHandleClientHitsSixteenProjectile ni=1416
  70 ROWeapon               func ServerProcessClientPawnMeleeDamage ni=1568
  71 ROWeapon               func ServerCancelMelee ni=1639
  72 ROWeapon               func ServerGotoMeleeAttackState ni=1664
  73 ROWeapon               func ServerVerifyStopFire ni=1724
  74 ROWeapon               func ServerPlayWeaponSpotEnemy ni=2022
  75 ROWeapon               func ServerGotoTakingCoverState ni=2070
  76 ROWeapon               func ClientGotoTakingCoverState ni=2071
  77 ROWeapon               func ServerGotoCoveredFiringState ni=2072
  78 ROWeapon               func ServerGotoBlindFiringState ni=2074
  79 ROWeapon               func ServerSwitchSpecialOpMode ni=2199
  80 ROWeapon               func ServerForceSpecialOpMode ni=2202
  81 ROWeapon               func ClientSwitchSpecialOpMode ni=2206
  82 ROWeapon               func ClientSpecialOpSwitchComplete ni=2254
  83 ROWeapon               func ClientSetAltAmmoLoadout ni=2259
  84 ROWeapon               func ServerSwitchAmmo ni=2276
  85 ROWeapon               func ClientSwitchAmmo ni=2277
  86 ROWeapon               func ClientAmmoSwitchComplete ni=2320
  87 ROWeapon               func ServerSetPenetration ni=2328
  88 ROWeapon               func ClientSetPenetration ni=2330
  89 ROWeapon               prop TotalStoredAmmoCount ni=2916
  90 ROWeapon               prop NumFullStripperClips ni=2917
  91 ROWeapon               prop CurrentMagCount ni=2922
  92 ROWeapon               prop AmmoCount ni=2926
  93 ROWeapon               prop bCoverWeaponResting ni=2986
  94 ROWeapon               prop bLower ni=3016
  95 ROWeapon               prop bForceLower ni=3017
  96 ROWeapon               prop bUserConfigApplied ni=3062
  97 ROWeapon               prop bUsingAltAmmo ni=3063
  98 ROWeapon               prop bHasAltAmmo ni=3064
