   0 Actor                  func DemoRecordSound ni=495
   1 Actor                  prop RelativeRotation ni=2481
   2 Actor                  prop RelativeLocation ni=2482
   3 Actor                  prop Velocity ni=2488
   4 Actor                  prop Instigator ni=2502
   5 Actor                  prop Base ni=2515
   6 Actor                  prop Owner ni=2516
   7 Actor                  prop ReplicatedCollisionType ni=2518
   8 Actor                  prop Role ni=2520
   9 Actor                  prop RemoteRole ni=2521
  10 Actor                  prop Physics ni=2522
  11 Actor                  prop DrawScale ni=2528
  12 Actor                  prop Rotation ni=2529
  13 Actor                  prop Location ni=2530
  14 Actor                  prop bNetOwner ni=2546
  15 Actor                  prop bProjTarget ni=2560
  16 Actor                  prop bBlockActors ni=2561
  17 Actor                  prop bCollideWorld ni=2563
  18 Actor                  prop bCollideActors ni=2564
  19 Actor                  prop bHardAttach ni=2583
  20 Actor                  prop bTearOff ni=2598
  21 Actor                  prop bHidden ni=2626
  22 Actor                  prop bLoadedFromSavegame ni=2628
  23 Controller             prop PlayerReplicationInfo ni=1860
  24 Controller             prop Pawn ni=1861
  25 Controller             func ClientSetLocation ni=1936
  26 Controller             func ClientSetRotation ni=1939
  27 Controller             func ServerRestartPlayer ni=1974
  28 Controller             func ClientSwitchToBestWeapon ni=2020
  29 PlayerController       func ClientTravel ni=3336
  30 PlayerController       func ClientConvolve ni=3355
  31 PlayerController       func ServerProcessConvolve ni=3358
  32 PlayerController       func ClientReplicationDebug ni=3380
  33 PlayerController       func ServerToggleDrawRelevancyChecks ni=3382
  34 PlayerController       func ServerAddPeer ni=3415
  35 PlayerController       func ServerRemovePeer ni=3419
  36 PlayerController       func ClientUpdateBestNextHosts ni=3423
  37 PlayerController       func ServerShortTimeout ni=3475
  38 PlayerController       func ServerSpectatorReset ni=3485
  39 PlayerController       func ClientReset ni=3486
  40 PlayerController       func ClientInitializeDataStores ni=3501
  41 PlayerController       func ClientGotoState ni=3553
  42 PlayerController       func AskForPawn ni=3554
  43 PlayerController       func GivePawn ni=3556
  44 PlayerController       func ServerAcknowledgePossession ni=3566
  45 PlayerController       func ClientSetHUD ni=3571
  46 PlayerController       func ReceiveLocalizedMessage ni=3580
  47 PlayerController       func ClientPlaySound ni=3582
  48 PlayerController       func ClientHearSound ni=3598
  49 PlayerController       func ClientHearSoundAdvanced ni=3604
  50 PlayerController       func ClientHearSoundAdvancedRelevant ni=3610
  51 PlayerController       func WwiseClientHearSound ni=3616
  52 PlayerController       func Kismet_ClientPlaySound ni=3630
  53 PlayerController       func Kismet_ClientStopSound ni=3636
  54 PlayerController       func ClientPlayActorFaceFXAnim ni=3643
  55 PlayerController       func ClientMessage ni=3647
  56 PlayerController       func TeamMessage ni=3673
  57 PlayerController       func ServerMutate ni=3701
  58 PlayerController       func ServerSay ni=3710
  59 PlayerController       func ClientAdminMessage ni=3713
  60 PlayerController       func ServerTeamSay ni=3717
  61 PlayerController       func ClientSetCameraMode ni=3725
  62 PlayerController       func ClientSetCameraFade ni=3733
  63 PlayerController       func DualServerMove ni=3751
  64 PlayerController       func OldServerMove ni=3758
  65 PlayerController       func ServerMove ni=3784
  66 PlayerController       func ServerDrive ni=3793
  67 PlayerController       func VeryShortClientAdjustPosition ni=3816
  68 PlayerController       func ShortClientAdjustPosition ni=3825
  69 PlayerController       func ClientCapBandwidth ni=3827
  70 PlayerController       func ClientAckGoodMove ni=3829
  71 PlayerController       func ClientAdjustPosition ni=3841
  72 PlayerController       func LongClientAdjustPosition ni=3864
  73 PlayerController       func ServerUpdatePing ni=3868
  74 PlayerController       func ServerRestartGame ni=3912
  75 PlayerController       func ServerSpeech ni=3920
  76 PlayerController       func ServerPause ni=3937
  77 PlayerController       func ServerUTrace ni=3940
  78 PlayerController       func ServerThrowWeapon ni=3943
  79 PlayerController       func ServerUse ni=3967
